artist,album,track,uri,track_id,album_name,track_name,duration_ms,explicit,popularity,danceability,energy,mode,speechiness,acousticness,instrumentalness,liveness,valence,track_genre,artist_1,artist_2,artist_3,tempo_scaled,loudness_scaled
koop,waltz for koop,waltz for koop,spotify:track:19MMMKq4LzbTvhOMYccIRd,19mmmkq4lzbtvhomyccird,waltz for koop,waltz for koop,186880,0,50,0.487,0.491,1,0.0279,0.595,0.147,0.113,0.435,trip-hop,koop,,,0.5928660651184195,0.2588967589611505
epmd,out of business,da joint,spotify:track:4opGTspdCCVK9IG1b4k8yp,28avvchup85ihre9xczcfb,back in business,da joint,208360,1,61,0.734,0.466,0,0.464,0.243,0.0,0.106,0.788,hardcore,epmd,,,0.3670019558535903,0.1858124060957287
dababy,kirk,bop,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,4xgxa4iprmqqrrvt6zbsrx,pov: it's 2019,bop,159714,1,0,0.77,0.786,1,0.368,0.189,0.0,0.129,0.837,hip-hop,dababy,,,0.5208651775882188,0.08388066108607
canned heat,on the road again,going up the country,spotify:track:3iltRlox3jEeSKuqdW88EK,3iltrlox3jeeskuqdw88ek,on the road again,going up the country,172866,0,62,0.622,0.239,0,0.0447,0.859,0.051,0.109,0.737,psych-rock,canned heat,,,0.3273753759676545,0.4074050225370251
commodores,commodores,easy,spotify:track:1JQ6Xm1JrvHfvAqhl5pwaA,2w8ozpyohht0ykcqlfejqb,on air 70's hits,easy,256545,0,1,0.568,0.575,0,0.029,0.126,0.0001,0.114,0.333,disco,commodores,,,0.5468706342553785,0.1667310581669886
scorpions,crazy world,wind of change,spotify:track:3ovjw5HZZv43SxTwApooCM,2ax1zws7bvjtlbs1cyzk2w,fishing music,wind of change,311240,0,0,0.429,0.63,1,0.0329,0.078,0.0,0.104,0.211,german,scorpions,,,0.6230256561970975,0.1586391929598627
scorpions,crazy world,wind of change,spotify:track:3ovjw5HZZv43SxTwApooCM,5wsstybvmefg3ac6jkb9gy,comeblack,wind of change,308866,0,60,0.491,0.613,1,0.0266,0.00511,0.0,0.107,0.175,german,scorpions,,,0.3118970136252321,0.1194676969306718
gang starr,full clip: a decade of gang starr,above the clouds,spotify:track:5jnZFyG4AIlIr7YosTEh02,3zbsxnydtzvabuqi3e2rf6,moment of truth,above the clouds,221626,1,63,0.462,0.944,1,0.315,0.312,0.000149,0.367,0.65,hardcore,gang starr,inspectah deck,,0.7080929605706491,0.0630392788151964
kurt cobain,montage of heck: the home recordings,and i love her,spotify:track:7x4b0UccXSKBWxWmjcrG2T,7x4b0uccxskbwxwmjcrg2t,montage of heck: the home recordings,and i love her,124933,0,66,0.616,0.282,1,0.0331,0.983,0.833,0.13,0.435,acoustic,kurt cobain,,,0.3970793682099831,0.3287400729770338
nujabes,modal soul,luv(sic.) pt3 (feat. shing02),spotify:track:4xlpJ99yL9xYQtzG6c3hwk,4xlpj99yl9xyqtzg6c3hwk,modal soul,luv(sic.) pt3 (feat. shing02),336866,0,60,0.866,0.691,0,0.0478,0.727,0.503,0.0737,0.87,chill,nujabes,shing02,,0.3903366040464803,0.0937969521356515
etta james,at last!,a sunday kind of love,spotify:track:0zGLlXbHlrAyBN1x6sY0rb,58qq7odxskfudlrm00ahoa,christmas vibes but not christmas songs,a sunday kind of love,198866,0,0,0.434,0.3,1,0.0286,0.832,0.0,0.143,0.481,blues,etta james,,,0.3488445671646697,0.1881734277742005
green day,american idiot,jesus of suburbia,spotify:track:3tWPsSedtKwPacR1aS4pen,58kppl1adlhmvr2o2pzejr,american idiot,jesus of suburbia,548253,1,67,0.3,0.929,1,0.0636,0.000259,2.26e-06,0.329,0.59,punk,green day,,,0.6044902453856648,0.0689632968448165
vybz kartel,stronger we get,clarks,spotify:track:1TFdSG786lkY22jKsMDZ35,6lkelk5ibqub9eoxidchgq,stronger we get,clarks,183893,0,56,0.631,0.802,1,0.373,0.0886,0.0,0.103,0.772,j-dance,vybz kartel,popcaan,gaza slim,0.4183020232401426,0.114080274737068
labrinth,euphoria (original score from the hbo series),still don't know my name,spotify:track:6N22FZs2ZhPBYi3b9XPajV,6n22fzs2zhpbyi3b9xpajv,euphoria (original score from the hbo series),still don't know my name,153294,0,80,0.316,0.63,1,0.117,0.471,0.262,0.205,0.313,indie-pop,labrinth,,,0.3683373600907253,0.1279673749731702
toto,toto iv,africa,spotify:track:2374M0fQpWi3dLnB54qaLX,2374m0fqpwi3dlnb54qalx,toto iv,africa,295893,0,83,0.671,0.373,1,0.0323,0.257,8.01e-05,0.0481,0.732,rock,toto,,,0.3809723386420788,0.3877012234385062
ray charles,"ray charles (aka: hallelujah, i love her so)",i've got a woman,spotify:track:2xar08Fq5xra2KKZs5Bw9j,2xar08fq5xra2kkzs5bw9j,"ray charles (aka: hallelujah, i love her so)",i've got a woman,171466,0,66,0.556,0.61,1,0.213,0.833,2.22e-06,0.258,0.665,blues,ray charles,,,0.8192109199086172,0.101481004507405
kokoroko,kokoroko,abusey junction,spotify:track:7vfILe0geNdQ7ilJYF45SU,3w4ionw4011i8qfcwn75va,kokoroko,abusey junction,424080,0,60,0.71,0.346,0,0.0582,0.839,0.935,0.111,0.364,british,kokoroko,,,0.3447890472198938,0.2547971667739859
frank ocean,blonde,nikes,spotify:track:19YKaevk2bce4odJkP5L22,19ykaevk2bce4odjkp5l22,blonde,nikes,314075,1,72,0.633,0.395,1,0.0857,0.692,0.000222,0.108,0.123,soul,frank ocean,,,0.5671276892986867,0.2068469628675682
paramore,paramore,ain't it fun,spotify:track:1j8z4TTjJ1YOdoFEDwJTQa,6o5spqmgor3hk20nhcappc,alternative rock mixtape,ain't it fun,296520,0,1,0.606,0.893,1,0.0987,0.154,4.18e-05,0.021,0.671,emo,paramore,,,0.4272677218414608,0.0789869070616012
hank williams,the complete hank williams,i saw the light,spotify:track:0UKP7G2YcF6BK7NpzhvX9T,04bsexzxrworxykkdwltiu,sings,i saw the light,166000,0,52,0.349,0.273,1,0.0325,0.95,6.21e-05,0.146,0.493,honky-tonk,hank williams,drifting cowboys,,0.8420114064066532,0.2455891822279459
hank williams,the complete hank williams,i saw the light,spotify:track:0UKP7G2YcF6BK7NpzhvX9T,5ufbqlsibehog8l3ak03wy,country music - a film by ken burns (the soundtrack) [deluxe],i saw the light,132880,0,16,0.647,0.399,1,0.032,0.819,4.55e-06,0.179,0.693,honky-tonk,hank williams,,,0.4425981624837696,0.2160978750804894
corinne bailey rae,corinne bailey rae,like a star,spotify:track:5Anh8jULgeUgciLHCR25Mk,5anh8julgeugcilhcr25mk,corinne bailey rae,like a star,243213,0,62,0.606,0.226,0,0.0347,0.715,0.0001,0.35,0.142,british,corinne bailey rae,,,0.5042116595171178,0.227860055805967
jimi hendrix,axis: bold as love,one rainy wish,spotify:track:5Zyv0v4rPcrXjkaeImuodv,5zyv0v4rpcrxjkaeimuodv,axis: bold as love,one rainy wish,221826,0,56,0.316,0.756,1,0.1,0.294,0.429,0.351,0.332,psych-rock,jimi hendrix,,,0.6819313643311473,0.1355226443442799
don mclean,american pie,american pie,spotify:track:1fDsrQ23eTAVFElUMaf38X,3ldrkmt2s7vbenf7g40ibi,обратно в клас - rock,american pie,513000,0,0,0.461,0.563,0,0.0605,0.358,0.0,0.302,0.477,folk,don mclean,,,0.569379386289302,0.2001287830006439
culture,too long in slavery,the international herb,spotify:track:0GGPUysb8GpCG76dQH63te,2x32axp8hknz6sxwudbdmy,420 reggae,the international herb,199920,0,31,0.826,0.559,0,0.266,0.065,0.0,0.0639,0.666,dub,culture,,,0.5247029239189389,0.1877012234385061
the notorious b.i.g.,ready to die,warning - 2005 remaster,spotify:track:33rsCCLHklTQav9klbpnAi,33rscclhkltqav9klbpnai,ready to die (the remaster),warning - 2005 remaster,220440,1,61,0.596,0.791,0,0.476,0.345,1.42e-05,0.136,0.399,hardcore,the notorious b.i.g.,,,0.7064041878276877,0.1627173213135866
mazzy star,so tonight that i might see,fade into you,spotify:track:1LzNfuep1bnAUR9skqdHCK,1lznfuep1bnaur9skqdhck,so tonight that i might see,fade into you,295600,0,79,0.42,0.33,1,0.0275,0.245,0.000679,0.0677,0.175,alt-rock,mazzy star,,,0.6456905478033628,0.2988624168276454
the rolling stones,exile on main street,sweet virginia,spotify:track:1hJrWWK74fKL7eeV3CFOvF,1hjrwwk74fkl7eev3cfovf,exile on main street (2010 re-mastered),sweet virginia,266560,0,57,0.477,0.74,1,0.0446,0.502,1.31e-06,0.263,0.56,british,the rolling stones,,,0.4412339956938349,0.1158188452457609
tv girl,french exit,lovers rock,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,6dbuzqjtbnia1twybyw5cm,french exit,lovers rock,213920,0,83,0.559,0.871,0,0.0397,7.53e-06,0.00545,0.096,0.572,indie-pop,tv girl,,,0.4313150239140081,0.1145524790727624
neil young,greatest hits,harvest moon,spotify:track:7sCHy8QQUz3CRvUMp53Cbm,2nekcvc9xrxqckwnnkip2l,"eat, pray, love",harvest moon,299106,0,68,0.645,0.321,1,0.0263,0.521,0.000186,0.129,0.427,singer-songwriter,neil young,,,0.4640550268724422,0.2607641124704872
al green,let's stay together,let's stay together,spotify:track:63xdwScd1Ai1GigAwQxE8y,4wasbxz15qvnypp0sy8jhm,let's stay together,let's stay together,199396,0,31,0.756,0.401,0,0.0529,0.587,0.0114,0.0541,0.52,blues,al green,,,0.4190128691879098,0.229641553981541
miles davis,kind of blue (legacy edition),"so what (feat. john coltrane, cannonball adderley & bill evans)",spotify:track:4vLYewWIvqHfKtJDk8c8tq,4vlyewwivqhfktjdk8c8tq,kind of blue (legacy edition),"so what (feat. john coltrane, cannonball adderley & bill evans)",562640,0,61,0.532,0.151,1,0.0376,0.706,0.00136,0.116,0.211,jazz,miles davis,john coltrane,cannonball adderley,0.5619339940502605,0.3705730843528654
grateful dead,american beauty,ripple - 2013 remaster,spotify:track:1OE5l6sedVcIFELMuxQOPI,1oe5l6sedvcifelmuxqopi,american beauty (2013 remaster),ripple - 2013 remaster,249733,0,59,0.604,0.411,1,0.034,0.427,5.74e-05,0.602,0.675,psych-rock,grateful dead,,,0.5203433427017077,0.3060098733633827
young stunners,afsanay,afsanay,spotify:track:05sqcYfU2wMlKwPVJ0rotq,05sqcyfu2wmlkwpvj0rotq,afsanay,afsanay,343118,0,58,0.816,0.456,0,0.569,0.529,0.0,0.189,0.534,hip-hop,young stunners,talha anjum,talhah yunus,0.3944249954801703,0.1777205408886027
the everly brothers,the very best of the everly brothers,all i have to do is dream,spotify:track:7dblNGnRXEBrVJunazs2U5,7dblngnrxebrvjunazs2u5,the very best of the everly brothers,all i have to do is dream,143333,0,67,0.534,0.462,1,0.0266,0.839,0.0,0.129,0.534,r-n-b,the everly brothers,,,0.3952591095113653,0.1753809830435716
little dragon,ritual union,ritual union,spotify:track:5uTjNzGKCQ50synrf9dWmT,5utjnzgkcq50synrf9dwmt,ritual union,ritual union,210266,0,59,0.7,0.738,1,0.0324,0.0381,0.00527,0.22,0.796,trip-hop,little dragon,,,0.5918306132176256,0.0943764756385491
dolly parton,jolene,jolene,spotify:track:5fdhThPDe6jQQDqCyWrdAn,2spehtbuuebelkgs9qb7ue,jolene,jolene,161533,0,73,0.674,0.537,0,0.0363,0.566,0.0,0.131,0.809,country,dolly parton,,,0.4543579376427855,0.2354582528439579
burna boy,outside,ye,spotify:track:3FskQrDXcY24ur2fCvz35O,3fskqrdxcy24ur2fcvz35o,outside,ye,231618,1,71,0.503,0.592,0,0.444,0.0181,0.00014,0.169,0.344,dancehall,burna boy,,,0.8293887546636425,0.1271088216355441
alabama shakes,sound & color,this feeling,spotify:track:6NyJTEbcYMoq00ANbH0bvC,3kuewttac1vwvx8emdr2qy,sound & color (deluxe edition),this feeling,268853,0,56,0.625,0.334,1,0.0361,0.844,0.00458,0.113,0.306,blues,alabama shakes,,,0.5375433492760054,0.2471131144022322
nick drake,pink moon,from the morning,spotify:track:6meH4I9A4WZtD3z8hnQKqr,6meh4i9a4wztd3z8hnqkqr,pink moon,from the morning,150850,0,58,0.644,0.325,1,0.036,0.869,0.0511,0.11,0.367,british,nick drake,,,0.4475987377348257,0.2372826786864134
xtc,drums and wires,making plans for nigel,spotify:track:1XT5kxg6Tk0ukCO2vBQN4v,1xt5kxg6tk0ukco2vbqn4v,drums and wires,making plans for nigel,253800,0,60,0.632,0.893,1,0.0455,0.0143,5.24e-06,0.0741,0.773,power-pop,xtc,,,0.6162171490557665,0.1296200901481005
kodak black,painting pictures,tunnel vision,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,3f9sgjztckqis3d99iz0p7,hiphopowe nowości,tunnel vision,268186,1,0,0.497,0.489,0,0.294,0.0576,9.91e-05,0.122,0.231,hip-hop,kodak black,,,0.7061329980441464,0.1657651856621593
carl douglas,the soul of the kung fu fighter,kung fu fighting,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J,7k8qshbmupsx37oocl4e2g,kung fu fighter,kung fu fighting,197935,0,26,0.621,0.764,1,0.0578,0.146,4.97e-05,0.161,0.745,disco,carl douglas,,,0.4202948572555594,0.1867568147671174
solomon burke,solomon burke's greatest hits,cry to me,spotify:track:1tYk5zABu6h8CMP1cSea56,04ena8ko8dnryuss5vdjie,thanksgiving party,cry to me,150960,0,0,0.811,0.545,0,0.0665,0.688,0.0,0.171,0.91,blues,solomon burke,,,0.4855447627500288,0.2453960077269801
frank ocean,blonde,ivy,spotify:track:2ZWlPOoWh0626oTaHrnl2a,2zwlpoowh0626otahrnl2a,blonde,ivy,249191,1,81,0.575,0.386,0,0.037,0.785,0.000289,0.229,0.466,soul,frank ocean,,,0.4783130351889288,0.2056879158617729
the congos,heart of the congos,solid foundation,spotify:track:37fnhRfjJMRJdsCPDSK13G,37fnhrfjjmrjdscpdsk13g,heart of the congos,solid foundation,269640,0,26,0.793,0.258,1,0.0731,0.00532,0.103,0.0945,0.706,dub,the congos,,,0.5578866919777131,0.3662159261644129
the notorious b.i.g.,ready to die,suicidal thoughts - 2005 remaster,spotify:track:00t7QTffOR3SA3L1BvSQVq,00t7qtffor3sa3l1bvsqvq,ready to die (the remaster; 2015 remaster),suicidal thoughts - 2005 remaster,170213,1,69,0.604,0.501,0,0.425,0.466,9.09e-06,0.091,0.0956,hardcore,the notorious b.i.g.,,,0.3230034679420804,0.2182871860914359
ac/dc,the razors edge,thunderstruck,spotify:track:57bgtoPSgt236HzfBOd8kj,57bgtopsgt236hzfbod8kj,the razors edge,thunderstruck,292880,0,84,0.502,0.89,1,0.0364,0.000147,0.0117,0.217,0.259,hard-rock,ac/dc,,,0.5486251499761682,0.111053874221936
bob marley & the wailers,uprising,redemption song,spotify:track:26PwuMotZqcczKLHi4Htz3,26pwumotzqcczklhi4htz3,uprising,redemption song,233560,0,70,0.671,0.256,1,0.0387,0.608,0.0,0.0737,0.694,reggae,bob marley & the wailers,,,0.4761065364955705,0.2305644988194892
death grips,the money store,get got,spotify:track:781V2Y5LPtcpgONEOadadE,781v2y5lptcpgoneoadade,the money store,get got,171866,1,59,0.57,0.993,1,0.337,0.00628,0.00796,0.0876,0.405,industrial,death grips,,,0.3574774419407327,0.0806181584030908
hank williams,the complete hank williams,i'm so lonesome i could cry - single version,spotify:track:2y9tVVMuq6c6o7NtIf88Jd,53cifi8vvqzocjkmyuvtes,the ultimate collection,i'm so lonesome i could cry - single version,167093,0,16,0.675,0.21,1,0.029,0.862,0.00136,0.14,0.618,honky-tonk,hank williams,,,0.4564082967638019,0.2803391285683623
hozier,hozier,work song,spotify:track:35PKfoynRpVFoAUE3D5Kc6,35pkfoynrpvfoaue3d5kc6,hozier,work song,229715,0,63,0.432,0.388,1,0.1,0.776,0.0,0.112,0.256,singer-songwriter,hozier,,,0.7295374981509788,0.1649710238248551
method man,blackout!,da rockwilder,spotify:track:5ltdcgEflWut0osW0ZzLhM,4anqyzt4apnlfwqixpbdzr,blackout!,da rockwilder,136093,1,69,0.612,0.659,0,0.406,0.0137,0.0,0.417,0.393,hardcore,method man,redman,,0.407347599559522,0.1501180510839236
drake,scorpion,god's plan,spotify:track:6DCZcSspjsKoFjzjrWoCdn,6dczcsspjskofjzjrwocdn,scorpion,god's plan,198973,1,84,0.754,0.449,1,0.109,0.0332,8.29e-05,0.552,0.357,hip-hop,drake,,,0.3170824910014299,0.1976819059884096
the notorious b.i.g.,life after death,mo money mo problems (feat. puff daddy & mase) - 2014 remaster,spotify:track:4INDiWSKvqSKDEu7mh8HFz,4indiwskvqskdeu7mh8hfz,life after death (2014 remastered edition),mo money mo problems (feat. puff daddy & mase) - 2014 remaster,257399,1,75,0.845,0.884,0,0.0759,0.0128,2.1e-06,0.203,0.904,hardcore,the notorious b.i.g.,mase,diddy,0.4295317456404188,0.0966945696501395
still woozy,goodie bag,goodie bag,spotify:track:4vHNeBWDQpVCmGbaccrRzi,4vhnebwdqpvcmgbaccrrzi,goodie bag,goodie bag,146390,1,76,0.739,0.522,0,0.151,0.821,0.00124,0.233,0.619,indie-pop,still woozy,,,0.5681138339661095,0.2640695428203478
fall out boy,infinity on high,thnks fr th mmrs,spotify:track:3Zwu2K0Qa5sT6teCCHPShP,4rxpkktke0oyd9oltdfg9k,обратно в клас - rock,thnks fr th mmrs,204760,0,2,0.458,0.897,0,0.0674,0.005,0.0,0.103,0.602,emo,fall out boy,,,0.6362030143155334,0.1074264863704658
fiona apple,pleasantville -music from the motion picture,across the universe,spotify:track:6ZQgooEk8PvsLxedYaT6Oa,6zqgooek8pvslxedyat6oa,pleasantville -music from the motion picture,across the universe,307333,0,60,0.578,0.481,1,0.0317,0.431,0.00299,0.0951,0.548,piano,fiona apple,,,0.5336727314563713,0.2263146597982399
a tribe called quest,the low end theory,check the rhime,spotify:track:4HfxDJ0uLHTLe0fZrx0MbQ,4hfxdj0ulhtle0fzrx0mbq,the low end theory,check the rhime,216693,0,65,0.881,0.361,0,0.237,0.0502,0.00458,0.246,0.799,hardcore,a tribe called quest,,,0.3962247094982167,0.3160978750804895
aphex twin,...i care because you do,alberto balsalm,spotify:track:6gbmylJ7sB7NFfMfTQHosf,21phj46keuhowyzw9a9b7p,...i care because you do,alberto balsalm,310746,0,62,0.792,0.599,1,0.141,0.316,0.931,0.111,0.57,electronic,aphex twin,,,0.3862153411238762,0.292895471131144
frank ocean,blonde,pink + white,spotify:track:3xKsf9qdS1CyvXSMEid6g8,3xksf9qds1cyvxsmeid6g8,blonde,pink + white,184516,0,85,0.545,0.545,1,0.107,0.667,5.48e-05,0.417,0.549,soul,frank ocean,,,0.6571832421149516,0.1579952779566431
fall out boy,from under the cork tree,"sugar, we're goin down",spotify:track:2TfSHkHiFO4gRztVIkggkE,1emoxfz5oxu6u6oxbuzafc,обратно в клас - rock,"sugar, we're goin down",230933,0,2,0.5,0.887,1,0.0726,0.00467,0.0,0.114,0.631,emo,fall out boy,,,0.6656599773186725,0.0802532732345997
loyle carner,loose ends,loose ends,spotify:track:4PIrQHxXlHlSXKoKd2nuxE,5h34ubbksozaofzmlds3by,coffee break,loose ends,256198,1,0,0.79,0.676,0,0.32,0.166,1.3e-05,0.103,0.365,alternative,loyle carner,jorja smith,,0.3737488289532074,0.1491951062459755
jimi hendrix,electric ladyland,all along the watchtower,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,2aoo2jlrnm3a0nylqqmn2f,electric ladyland,all along the watchtower,240800,0,77,0.438,0.805,1,0.0624,0.00255,5.69e-05,0.0842,0.564,blues,jimi hendrix,,,0.4653493417484345,0.1338484653359091
nas,illmatic,memory lane (sittin' in da park),spotify:track:2W58HMaCbjcUfZnZaeHtcC,2w58hmacbjcufznzaehtcc,illmatic,memory lane (sittin' in da park),248213,1,59,0.648,0.841,1,0.212,0.31,0.0,0.136,0.624,hardcore,nas,,,0.3680127541376986,0.0927452242970594
grouplove,never trust a happy song,tongue tied,spotify:track:0GO8y8jQk1PkHzS31d699N,0go8y8jqk1pkhzs31d699n,never trust a happy song,tongue tied,218013,0,79,0.56,0.936,1,0.0439,0.00847,0.0,0.161,0.371,alt-rock,grouplove,,,0.4641454234669559,0.1252200042927667
stevie ray vaughan,couldn't stand the weather (legacy edition),little wing,spotify:track:5XNpdKmlLJPUbwKQceX2tW,5xnpdkmlljpubwkqcex2tw,couldn't stand the weather (legacy edition),little wing,408480,0,61,0.475,0.383,1,0.0375,0.362,0.749,0.0728,0.524,blues,stevie ray vaughan,,,0.4713319527307989,0.3048078986907061
warren g,regulate… g funk era,this d.j.,spotify:track:4EvXpBZAcKrLngpGDhmet0,03r2r8m2bic1exobnpsr1j,regulate...g funk era (20th anniversary),this d.j.,203026,1,38,0.804,0.505,0,0.129,0.0363,0.0211,0.113,0.562,hardcore,warren g,o.g.l.b.,,0.378161826339924,0.1757673320455033
nas,god's son,get down,spotify:track:3UYuDTslR35thjQzaVwRMe,3uyudtslr35thjqzavwrme,god's son,get down,244253,1,63,0.835,0.718,1,0.232,0.0424,0.0,0.258,0.507,hardcore,nas,,,0.3878301530167808,0.1374543893539386
the wailers,burnin',"get up, stand up",spotify:track:1F6A8AHmzEyzPSrEc9aumd,2mw8xqjpidagrktdxeqxcs,burnin',"get up, stand up",198160,0,52,0.799,0.572,0,0.357,0.264,0.0,0.06,0.828,dub,the wailers,,,0.31947389181993,0.1553337626100022
inner circle,blazzin' fire,bad boys (theme from cops),spotify:track:0qeKzbUsW0V4ZWRJrHNiD3,0qekzbusw0v4zwrjrhnid3,blazzin' fire,bad boys (theme from cops),229374,0,69,0.781,0.722,1,0.0667,0.236,0.000398,0.077,0.533,reggae,inner circle,,,0.3610029091267689,0.1797596050654647
the beatles,please please me,love me do - remastered 2009,spotify:track:3VbGCXWRiouAq8VyMYN2MI,3vbgcxwriouaq8vymyn2mi,please please me (remastered),love me do - remastered 2009,141693,0,68,0.52,0.829,1,0.0806,0.386,6.2e-05,0.227,0.744,british,the beatles,,,0.608110218102329,0.1336552908349431
mulatu astatke,new york - addis - london: the story of ethio jazz 1965-1975,tezeta,spotify:track:7JPNvoMjoIXkTDAMx9Aajj,7jpnvomjoixktdamx9aajj,new york - addis - london: the story of ethio jazz 1965-1975,tezeta,368539,0,49,0.549,0.254,1,0.0416,0.962,0.931,0.0994,0.541,afrobeat,mulatu astatke,,,0.3348125503344674,0.3107748443872076
israel vibration,strength of my life,cool and calm,spotify:track:0dO79bdqpF4yl3Hpms8Eu7,6m7wl02u3a371bstbkm3yr,strength of my life,cool and calm,265880,0,18,0.795,0.415,1,0.153,0.127,8.76e-06,0.067,0.821,dub,israel vibration,,,0.3134296467958516,0.2246190169564283
fela kuti,the best of the black president,water no get enemy,spotify:track:78ruRvasI4AEA3ibWwcV1v,2owex6ryoq7bl2d9zg8d3f,the best of the black president,water no get enemy,591693,0,48,0.641,0.926,0,0.0572,0.11,0.0246,0.09,0.883,afrobeat,fela kuti,,,0.3736419966142366,0.1656364026615153
death grips,the money store,i've seen footage,spotify:track:7nCONy10IHp7XD3oYZ0lcx,7ncony10ihp7xd3oyz0lcx,the money store,i've seen footage,202853,1,58,0.603,0.944,0,0.347,0.0481,0.0,0.342,0.418,industrial,death grips,,,0.5343055076179676,0.0778063962223654
protoje,a vibe (feat. wiz khalifa),a vibe (feat. wiz khalifa),spotify:track:6gkepFIH72ZdSIAjtvS7ZV,6gkepfih72zdsiajtvs7zv,a vibe (feat. wiz khalifa),a vibe (feat. wiz khalifa),163853,0,47,0.714,0.683,1,0.516,0.457,0.0,0.12,0.467,dancehall,protoje,wiz khalifa,,0.6569901221175813,0.1856621592616442
charly black,gyal you a party animal,gyal you a party animal,spotify:track:6bOLRTULQUiXeVnxOIPZVA,7rj8anwzqtvruellaynwtz,gyal you a party animal,gyal you a party animal,214866,0,66,0.588,0.841,1,0.0932,0.026,0.0,0.33,0.871,dancehall,charly black,,,0.5529682954489423,0.1102597123846319
joy division,love will tear us apart,love will tear us apart - 2020 remaster,spotify:track:34iOH7LY3vme5rQxsVILZ4,34ioh7ly3vme5rqxsvilz4,love will tear us apart,love will tear us apart - 2020 remaster,208453,0,69,0.527,0.923,1,0.0379,0.000541,0.765,0.127,0.899,punk-rock,joy division,,,0.6037013296517266,0.1600558059669456
black pumas,black pumas,colors,spotify:track:6J3HNhDBIwEX11bX8hzx5u,6d4fwjx72iurwzn1hwywlk,black pumas,colors,246586,0,67,0.391,0.692,0,0.0462,0.0946,1.58e-05,0.191,0.56,soul,black pumas,,,0.7396413720559473,0.1404163983687487
